,TID,CN,TW,EN,ES,RU,PO,DE,KR,JP,FR,IT,AR,TR,IN,
90,Etude Op.6 No.8,练习曲Op.6 No.8,練習曲Op.6 No.8,Etude Op.6 No.8,Etude Op.6 No.8,Этюд Op.6 №8,Etude Op.6 No.8,Etude Op.6 Nr.8,에튀드 Op.6 No.8,Etude Op.6 No.8,Etude Op.6 No.8,Etude Op.6 No.8,القطعة الموسيقية No.8 Op.6,Etude Op.6 No.8,Etude Op.6 No.8,26
91,Etude Op.849 No.16,车尔尼Op.849 No.16,車爾尼Op.849 No.16,Etude Op.849 No.16,Etude Op.849 No.16,Этюд Op.849 №16,Etude Op.849 No.16,Etude Op.849 Nr.16,에튀드 Op.849 No.16,Etude Op.849 No.16,Etude Op.849 No.16,Etude Op.849 No.16,القطعة الموسيقية No.16 Op.849,Etude Op.849 No.16,Etude Op.849 No.16,29
92,Waltz No.16,圆舞曲No.16,圓舞曲No.16,Waltz No.16,Waltz No.16,Вальс №16,Waltz No.16,Waltz Nr.16,왈츠 No.16,Waltz No.16,Waltz No.16,Waltz No.16,الفالس No.16,Waltz No.16,Waltz No.16,12
93,WTC1 No.3,前奏曲BWV848,前奏曲BWV848,WTC1 No.3,WTC1 No.3,WTC1 №3,WTC1 No.3,WTC1 Nr.3,WTC1 No.3,WTC1 No.3,WTC1 No.3,WTC1 No.3,WTC1 No.3,WTC1 No.3,WTC1 No.3,9
94,Der Vogelfaenger bin ich ja,我是一个快乐的捕鸟人,我是一個快樂的捕鳥人,Der Vogelfaenger bin ich ja,Der Vogelfaenger bin ich ja,Der Vogelfaenger bin ich ja,Der Vogelfaenger bin ich ja,Der Vogelfänger bin ich ja,나는야 새잡이,Der Vogelfaenger bin ich ja,Der Vogelfaenger bin ich ja,Der Vogelfaenger bin ich ja,در فجلفنجر بين ايش جا,Der Vogelfaenger bin ich ja,Der Vogelfaenger bin ich ja,21
95,Carnaval Op.9 No.14,狂欢节Op.9 No.14,狂歡節Op.9 No.14,Carnaval Op.9 No.14,Carnaval Op.9 No.14,Карнавал Op.9 №14,Carnaval Op.9 No.14,Carnaval Op.9 Nr.14,카니발 Op.9 No.14,Carnaval Op.9 No.14,Carnaval Op.9 No.14,Carnaval Op.9 No.14,الكرنفال No.14 Op.9,Carnaval Op.9 No.14,Carnaval Op.9 No.14,19
96,Arabesque Op.76 No.9,花纹Op.76 No.9,花紋Op.76 No.9,Arabesque Op.76 No.9,Arabesque Op.76 No.9,Арабеск Op.76 №9,Arabesque Op.76 No.9,Arabesque Op.76 Nr.9,아라베스크 Op.76 No.9,Arabesque Op.76 No.9,Arabesque Op.76 No.9,Arabesque Op.76 No.9,الأرابيسك No.9 Op.76,Arabesque Op.76 No.9,Arabesque Op.76 No.9,20
97,Bagpipe Dance,风笛舞曲,風笛舞曲,Bagpipe Dance,Bagpipe Dance,Bagpipe Dance,Bagpipe Dance,Bagpipe Dance,백파이프 무곡,Bagpipe Dance,Bagpipe Dance,Bagpipe Dance,مزمار الرقص,Bagpipe Dance,Bagpipe Dance,11
98,The Happy Farmer,快乐的农夫,快樂的農夫,The Happy Farmer,The Happy Farmer,The Happy Farmer,The Happy Farmer,Der glückliche Bauer,즐거운 농부,The Happy Farmer,The Happy Farmer,The Happy Farmer,المزارع السعيد,The Happy Farmer,The Happy Farmer,14
99,Variations of Paganini,帕格尼尼主题变奏曲,帕格尼尼主題變奏曲,Variations of Paganini,Variations of Paganini,Вариации на тему Паганини,Variations of Paganini,Variations of Paganini,파가니니 변주곡,Variations of Paganini,Variations of Paganini,Variations of Paganini,أشكال مختلفة من باغانيني,Variations of Paganini,Variations of Paganini,24
100,Penguin's Game,企鹅舞,企鵝舞,Penguin's Game,Penguin's Game,Penguin's Game,Penguin's Game,Penguin's Game,펭귄춤,Penguin's Game,Penguin's Game,Penguin's Game,لعبة البطريق,Penguin's Game,Penguin's Game,12
101,The Wild Horseman,勇敢的骑士,勇敢的騎士,The Wild Horseman,The Wild Horseman,The Wild Horseman,The Wild Horseman,The Wild Horseman,용감한 호스맨,The Wild Horseman,The Wild Horseman,The Wild Horseman,فارس البرية,The Wild Horseman,The Wild Horseman,11
102,Etude No.23,克拉莫练习曲No.23,克拉莫練習曲No.23,Etude No.23,Etude No.23,Этюд №23,Etude No.23,Etude Nr.23,에튀드 No.23,Etude No.23,Etude No.23,Etude No.23,القطعة الموسيقية No.23,Etude No.23,Etude No.23,22
103,French Suite No.4-Gigue,基格法国组曲第四组,基格法國組曲第四組,French Suite No.4-Gigue,French Suite No.4-Gigue,French Suite №4 - Gigue,French Suite No.4-Gigue,French Suite Nr.4-Gigue,프랑스 모음곡 No.4 지그,French Suite No.4-Gigue,French Suite No.4-Gigue,French Suite No.4-Gigue,الجناح الفرنسي رقم 4 جيغ,French Suite No.4-Gigue,French Suite No.4-Gigue,24
104,The Nightingale,夜莺,夜鶯,The Nightingale,The Nightingale,Соловей,The Nightingale,The Nightingale,나이팅게일,The Nightingale,The Nightingale,The Nightingale,العندليب,The Nightingale,The Nightingale,8
105,Gertrude's dream waltz,格特鲁德的梦想,格特魯德的夢想,Gertrude's dream waltz,Gertrude's dream waltz,Gertrude's dream waltz,Gertrude's dream waltz,Gertrude's dream waltz,거투루드의 꿈,Gertrude's dream waltz,Gertrude's dream waltz,Gertrude's dream waltz,حلم الفالس لجيرترود,Gertrude's dream waltz,Gertrude's dream waltz,19
106,Loure,卢尔舞曲,盧爾舞曲,Loure,Loure,Loure,Loure,Loure,로우레,Loure,Loure,Loure,لور,Loure,Loure,3
107,Craving for the Spring Wind,望春风,望春風,Craving for the Spring Wind,Craving for the Spring Wind,Craving for the Spring Wind,Craving for the Spring Wind,Craving for the Spring Wind,봄바람을 맞으며,Craving for the Spring Wind,Craving for the Spring Wind,Craving for the Spring Wind,حنين لربيع الرياح,Craving for the Spring Wind,Craving for the Spring Wind,17
108,Neopolitan Dance,拿波里舞曲,拿波里舞曲,Neopolitan Dance,Neopolitan Dance,Neopolitan Dance,Neopolitan Dance,Neopolitan Dance,나폴리의 춤,Neopolitan Dance,Neopolitan Dance,Neopolitan Dance,الرقص النابولي,Neopolitan Dance,Neopolitan Dance,14
109,Sonata in C Major K330 Mvt.1,C大调奏鸣曲K330 第一章,C大調奏鳴曲K330 第一章,Sonata in C Major K330 Mvt.1,Sonata in C Major K330 Mvt.1,Соната для фортепиано №10,Sonata in C Major K330 Mvt.1,Sonata in C Dur K330 1. Satz,소나타 C 장조 K330 1 악장,Sonata in C Major K330 Mvt.1,Sonata in C Major K330 Mvt.1,Sonata in C Major K330 Mvt.1,سوناتا في سلم دو الكبير Mvt.1 K330,Sonata in C Major K330 Mvt.1,Sonata in C Major K330 Mvt.1,34
110,Invention No.2,二部创意曲No.2,二部創意曲No.2,Invention No.2,Invention No.2,инновационная песня №2,Invention No.2,Invention Nr.2,인벤션 No.2,Invention No.2,Invention No.2,Invention No.2,الاختراع No.2,Invention No.2,Invention No.2,13
111,Hands Across The Sea,越海之谊进行曲,越海之誼進行曲,Hands Across The Sea,Hands Across The Sea,Hands Across The Sea,Hands Across The Sea,Hands Across The Sea,바다를 가로지르는 악수,Hands Across The Sea,Hands Across The Sea,Hands Across The Sea,أيدي عبر البحر,Hands Across The Sea,Hands Across The Sea,14
112,Album Leaf,纪念册的第一页,紀念冊的第一頁,Album Leaf,Album Leaf,Первая страница альбома,Album Leaf,Album Leaf,앨범의 첫페이지,Album Leaf,Album Leaf,Album Leaf,ألبوم ليف,Album Leaf,Album Leaf,9
113,Moment Musical Op.94 No.4,音乐瞬间Op.94 No.4,音樂瞬間Op.94 No.4,Moment Musical Op.94 No.4,Moment Musical Op.94 No.4,Музыкальный момент Op.94 №4,Moment Musical Op.94 No.4,Moment Musical Op.94 Nr.4,음악의순간 Op.94 No.4,Moment Musical Op.94 No.4,Moment Musical Op.94 No.4,Moment Musical Op.94 No.4,اللحظة الموسيقية No.4 Op.94,Moment Musical Op.94 No.4,Moment Musical Op.94 No.4,27
114,Romanian Folk Dances No.6,碎步舞曲,碎步舞曲,Romanian Folk Dances No.6,Romanian Folk Dances No.6,Румынские народные танцы №6,Romanian Folk Dances No.6,Romanian Folk Dances Nr.6,루마니아 민속 무곡 No.6,Romanian Folk Dances No.6,Romanian Folk Dances No.6,Romanian Folk Dances No.6,الرقصات الشعبية الرومانية No.6,Romanian Folk Dances No.6,Romanian Folk Dances No.6,30
115,Prelude Op.12 No.7,前奏曲Op.12 No.7,前奏曲Op.12 No.7,Prelude Op.12 No.7,Prelude Op.12 No.7,Прелюдия Op.12 №7,Prelude Op.12 No.7,Prelude Op.12 Nr.7,전주곡 Op.12 No.7 ,Prelude Op.12 No.7,Prelude Op.12 No.7,Prelude Op.12 No.7,الافتتاحية No.7 Op.12,Prelude Op.12 No.7,Prelude Op.12 No.7,21
116,3 Ecossaises Op.72 No.3,苏格兰舞曲Op.72 No.3,蘇格蘭舞曲Op.72 No.3,3 Ecossaises Op.72 No.3,3 Ecossaises Op.72 No.3,3 Ecossaises Op.72 №4,3 Ecossaises Op.72 No.3,3 Ecossaises Op.72 Nr.3,3에토세즈 Op.72 No.3,3 Ecossaises Op.72 No.3,3 Ecossaises Op.72 No.3,3 Ecossaises Op.72 No.3,3 الاسكتلندي Op.72 No.3,3 Ecossaises Op.72 No.3,3 Ecossaises Op.72 No.3,23
117,Searchlight Rag,探照灯拉格,探照燈拉格,Searchlight Rag,Searchlight Rag,Searchlight Rag,Searchlight Rag,Searchlight Rag,서치라이트 래그,Searchlight Rag,Searchlight Rag,Searchlight Rag,كشاف راج,Searchlight Rag,Searchlight Rag,8
118,Bach Piano Concerto No.1,巴赫第一钢琴协奏曲,巴赫第一鋼琴協奏曲,Bach Piano Concerto No.1,Bach Piano Concerto No.1,Концерт для фортепиано №1,Bach Piano Concerto No.1,Bach Piano Concerto Nr.1,바흐의 피아노협주곡 No.1,Bach Piano Concerto No.1,Bach Piano Concerto No.1,Bach Piano Concerto No.1,باخ كونشرتو البيانو No.1,Bach Piano Concerto No.1,Bach Piano Concerto No.1,24
119,Walzer,圆舞曲,圓舞曲,Walzer,Walzer,Walzer,Walzer,Walzer,왈츠,Walzer,Walzer,Walzer,الفالس,Walzer,Walzer,6
120,Lively Spring Festival,闹春,鬧春,Lively Spring Festival,Lively Spring Festival,Lively Spring Festival,Lively Spring Festival,Lively Spring Festival,새봄 축제,Lively Spring Festival,Lively Spring Festival,Lively Spring Festival,عيد ربيع سعيد,Lively Spring Festival,Lively Spring Festival,13
121,Etude Op.740 No.31,练习曲 Op.740 No.31,練習曲 Op.740 No.31,Etude Op.740 No.31,Etude Op.740 No.31,Этюд Op.740 №31,Etude Op.740 No.31,Etude Op.740 Nr.31,연습곡 Op.740 No.31,Etude Op.740 No.31,Etude Op.740 No.31,Etude Op.740 No.31,القطعة الموسيقية No.31 Op.740,Etude Op.740 No.31,Etude Op.740 No.31,29
122,Market,集市,集市,Market,Market,Market,Market,Market,마켓,Market,Market,Market,سوق,Market,Market,3
123,Melody,旋律,旋律,Melody,Melody,Melody,Melody,Melody,멜로디,Melody,Melody,Melody,لحن,Melody,Melody,3
124,Etude Op.37 No.29,练习曲 Op.37 No.29,練習曲 Op.37 No.29,Etude Op.37 No.29,Etude Op.37 No.29,Этюд Op.37 №29,Etude Op.37 No.29,Etude Op.37 Nr.29,연습곡Op.37 No.29,Etude Op.37 No.29,Etude Op.37 No.29,Etude Op.37 No.29,القطعة الموسيقية No.29 Op.37,Etude Op.37 No.29,Etude Op.37 No.29,28
125,Carol of the Bells,钟声响,鐘聲響,Carol of the Bells,Carol of the Bells,Carol of the Bells,Carol of the Bells,Carol of the Bells,캐롤 오브 더 벨,Carol of the Bells,Carol of the Bells,Carol of the Bells,كارول من الأجراس,Carol of the Bells,Carol of the Bells,16
126,The Hebrides Overture,小鸟啼鸣,小鳥啼鳴,The Hebrides Overture,The Hebrides Overture,Фингалова пещера,The Hebrides Overture,The Hebrides Overture,헤브리디스 제도 서곡,The Hebrides Overture,The Hebrides Overture,The Hebrides Overture,افتتاحية الهبريدس,The Hebrides Overture,The Hebrides Overture,17
127,Heather Rose,杂色玫瑰,雜色玫瑰,Heather Rose,Heather Rose,Heather Rose,Heather Rose,Heather Rose,황야의 장미꽃,Heather Rose,Heather Rose,Heather Rose,هيذر روز,Heather Rose,Heather Rose,8
128,"Home, Sweet home",可爱的家,可愛的家,"Home, Sweet home","Home, Sweet home","Дом, милый дом","Home, Sweet home","Home, Sweet home",즐거운 나의 집,"Home, Sweet home","Home, Sweet home","Home, Sweet home",البيت السعيد,"Home, Sweet home","Home, Sweet home",12
129,Mazurka Op.39 No.11,玛祖卡 Op.39 No.11,瑪祖卡 Op.39 No.11,Mazurka Op.39 No.11,Mazurka Op.39 No.11,Мазурка Op.39 №11,Mazurka Op.39 No.11,Mazurka Op.39 Nr.11,마주르카 Op.39 No.11,Mazurka Op.39 No.11,Mazurka Op.39 No.11,Mazurka Op.39 No.11,المازوركا No.11 Op.39,Mazurka Op.39 No.11,Mazurka Op.39 No.11,21
130,Palm Leaf Rag,棕榈叶拉格,棕櫚葉拉格,Palm Leaf Rag,Palm Leaf Rag,Palm Leaf Rag,Palm Leaf Rag,Palm Leaf Rag,팜 리프 래그,Palm Leaf Rag,Palm Leaf Rag,Palm Leaf Rag,النخيل ورقة راغ,Palm Leaf Rag,Palm Leaf Rag,15
131,Troika E Major,在十一月的马车上,在十一月的馬車上,Troika E Major,Troika E Major,Ноябрь На тройке,Troika E Major,Troika E Major,트로이카 E장,Troika E Major,Troika E Major,Troika E Major,في تريوكة نوفمبر,Troika E Major,Troika E Major,16
132,Old Folks at Home,故乡的亲人,故鄉的親人,Old Folks at Home,Old Folks at Home,Old Folks at Home,Old Folks at Home,Old Folks at Home,고향 사람들,Old Folks at Home,Old Folks at Home,Old Folks at Home,أهالي البلدة,Old Folks at Home,Old Folks at Home,12
133,Hunting Song,猎歌,獵歌,Hunting Song,Hunting Song,Hunting Song,Hunting Song,Hunting Song,헌팅송,Hunting Song,Hunting Song,Hunting Song,أغنية الصيد,Hunting Song,Hunting Song,11
134,Fall,落,落,Fall,Fall,Fall,Fall,Fall,폴,Fall,Fall,Fall,سقوط,Fall,Jatuh,4
135,Romance,浪漫曲,浪漫曲,Romance,Romance,Романс,Romance,Romance,로만스,Romance,Romance,Romance,الرومانسيات,Romance,Romance,11
136,Soldaten Marsch,士兵进行曲,士兵進行曲,Soldaten Marsch,Soldaten Marsch,Soldaten Marsch,Soldaten Marsch,Soldaten Marsch,병사들의 행진곡,Soldaten Marsch,Soldaten Marsch,Soldaten Marsch,جنود يسيرون,Soldaten Marsch,Soldaten Marsch,11
137,Non Piu Andrai,你再不要去做情郎,你再不要去做情郎,Non Piu Andrai,Non Piu Andrai,Non Piu Andrai,Non Piu Andrai,Non Piu Andrai,더이상날지못하리,Non Piu Andrai,Non Piu Andrai,Non Piu Andrai,غير وحدة التحقيق,Non Piu Andrai,Non Piu Andrai,16
138,"Long, Long Ago",多年以前,多年以前,"Long, Long Ago","Long, Long Ago","Long, Long Ago","Long, Long Ago","Long, Long Ago",옛날에,"Long, Long Ago","Long, Long Ago","Long, Long Ago",منذ فترة طويلة طويلة,"Long, Long Ago","Long, Long Ago",20
139,Rondo A Major,A大调回旋曲,A大調迴旋曲,Rondo A Major,Rondo A Major,Рондо ля мажор,Rondo A Major,Rondo A Dur,론도 A 장조,Rondo A Major,Rondo A Major,Rondo A Major,روندو في سلم لا الكبير,Rondo A Major,Rondo A Major,22
140,March from Norma,诺尔玛大进行曲,諾爾瑪大進行曲,March from Norma,March from Norma,March from Norma,March from Norma,March from Norma,노르마 중 개선행진곡,March from Norma,March from Norma,March from Norma,المسيرة من نورما,March from Norma,March from Norma,16
141,The music box,八音盒,八音盒,The music box,The music box,Музыкальная шкатулка,The music box,The music box,더 뮤직박스,The music box,The music box,The music box,صندوق الموسيقي,The music box,The music box,14
142,Barcarolle d'Hoffmann,霍夫曼船歌,霍夫曼船歌,Barcarolle d'Hoffmann,Barcarolle d'Hoffmann,Сказки Гофмана,Barcarolle d'Hoffmann,Barcarolle d'Hoffmann,뱃노래,Barcarolle d'Hoffmann,Barcarolle d'Hoffmann,Barcarolle d'Hoffmann,حكايات هوفمان,Barcarolle d'Hoffmann,Barcarolle d'Hoffmann,13
143,Restless Galop,不停息的加洛普舞曲 ,不停息的加洛普舞曲,Restless Galop,Restless Galop,"Restless Galop",Restless Galop,Restless Galop,쉬지 않은 갤럽,Restless Galop,Restless Galop,Restless Galop,غلوب لا يهدأ,Restless Galop,Restless Galop,12
144,Prelude in g minor BWV930,g小调小前奏曲 ,g小調小前奏曲,Prelude in g minor BWV930,Prelude in g minor BWV930,Прелюдия BWV930,Prelude in g minor BWV930,Prelude in g moll BWV930,사단조 전주곡 BWV930,Prelude in g minor BWV930,Prelude in g minor BWV930,Prelude in g minor BWV930,مقدمة في سلم صول الصغير BWV930,Prelude in g minor BWV930,Prelude in g minor BWV930,30
145,Elite Syncopations,精彩的切分音,精彩的切分音,Elite Syncopations,Elite Syncopations,"Elite Syncopations",Elite Syncopations,Elite Syncopations,엘리트 싱코페이션,Elite Syncopations,Elite Syncopations,Elite Syncopations,اختزال النخبة,Elite Syncopations,Elite Syncopations,13
146,Andante from Orfeo ed Euridice,行板,行板,Andante from Orfeo ed Euridice,Andante from Orfeo ed Euridice,Орфей и Эвридика,Andante from Orfeo ed Euridice,Andante from Orfeo ed Euridice,안단테,Andante from Orfeo ed Euridice,Andante from Orfeo ed Euridice,Andante from Orfeo ed Euridice,بيطء معتدل من أورفيوس إلى يودرس,Andante from Orfeo ed Euridice,Andante from Orfeo ed Euridice,31
147,Magnetic Rag,吸引力拉格泰姆,吸引力拉格泰姆,Magnetic Rag,Magnetic Rag,Magnetic Rag,Magnetic Rag,Magnetic Rag,마그네틱래그,Magnetic Rag,Magnetic Rag,Magnetic Rag,خرقة المغناطيسي,Magnetic Rag,Magnetic Rag,15
148,Starlight Waltz,星光圆舞曲,星光圓舞曲,Starlight Waltz,Starlight Waltz,Звездный вальс,Starlight Waltz,Starlight Waltz,별빛 왈츠,Starlight Waltz,Starlight Waltz,Starlight Waltz,فالس ضوء النجوم,Starlight Waltz,Starlight Waltz,15
149,Les Sylphes,精灵,精靈,Les Sylphes,Les Sylphes,"Les Sylphes",Les Sylphes,Les Sylphes,공기의 요정  ,Les Sylphes,Les Sylphes,Les Sylphes,الرشيقات,Les Sylphes,Les Sylphes,8
150,Va pensiero,囚徒合唱,囚徒合唱,Va pensiero,Va pensiero,Va pensiero,Va pensiero,Va pensiero,하브리노예들의합창,Va pensiero,Va pensiero,Va pensiero,جوقة السجين,Va pensiero,Va pensiero,11
151,Wiener March,维也纳进行曲,維也納進行曲,Wiener March,Wiener March,Венский марш,Wiener March,Wiener March,빈행진곡,Wiener March,Wiener March,Wiener March,مسيرة بيينا,Wiener March,Wiener March,11
152,Emperor Waltz Op.437,皇帝圆舞曲,皇帝圓舞曲,Emperor Waltz Op.437,Emperor Waltz Op.437,Императорский вальс Оп.437,Emperor Waltz Op.437,Emperor Waltz Op.437,황체왈츠 Op.437,Emperor Waltz Op.437,Emperor Waltz Op.437,Emperor Waltz Op.437,فالس الإمبراطور Op.437,Emperor Waltz Op.437,Emperor Waltz Op.437,22
153,Rondo allegretto Op.168 No.1,回旋曲 Op.168 No.1,迴旋曲 Op.168 No.1,Rondo allegretto Op.168 No.1,Rondo allegretto Op.168 No.1,Рондо аллегретто Оп. 168 №1,Rondo allegretto Op.168 No.1,Rondo allegretto Op.168 Nr.1,론도알레그레토 Op.168 No.1,Rondo allegretto Op.168 No.1,Rondo allegretto Op.168 No.1,Rondo allegretto Op.168 No.1,الروندو No.1 Op.168,Rondo allegretto Op.168 No.1,Rondo allegretto Op.168 No.1,19
154,Andante from Concerto No.21,第二十一协奏曲 行板,第二十一協奏曲 行板,Andante from Concerto No.21,Andante from Concerto No.21,Аданте из концерта №21,Andante from Concerto No.21,Andante from Concerto Nr.21,피아노협주곡제21번안단테,Andante from Concerto No.21,Andante from Concerto No.21,Andante from Concerto No.21,ببطء معتدل من كونشرتو No.21,Andante from Concerto No.21,Andante from Concerto No.21,27
155,Alles fuhlt der Liebe Freuden,所有生物都感受到爱的狂喜,所有生物都感受到愛的狂喜,Alles fuhlt der Liebe Freuden,Alles fühlt der Liebe Freuden,Alles fühlt der Liebe Freuden,Alles fühlt der Liebe Freuden,Alles fühlt der Liebe Freuden,모두가 사랑을 나누는데,Alles fühlt der Liebe Freuden,Alles fühlt der Liebe Freuden,Alles fühlt der Liebe Freuden,وترى كل شيء مباهج الحب,Alles fuhlt der Liebe Freuden,Alles fuhlt der Liebe Freuden,22
